,tinicialruptura,tfinalruptura,deltaruptura,turb,kruptura,tinicio,rglbprom,rglbmax,rglbmin,stdrglb,promkrup,tempromrup,tempminrup,tempmaxrup,stdtemp,hrelpromrup,hrelmaxrup,hrelminrup,stdhrel,promvelv,promvelu,prommag,maxmagnitudviento,minmagnitudviento,inicioviento,maginicioviento,Vamanecer,promagruptura,maxmagruptura,minmagruptura,maginicioruptura,magfirup,n_clouds,LCL_srf,z_cloudbase,z_inv_base,z_inv_top,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling
0,50.0,255.0,205.0,3.446,0.8370212518491995,285.0,376.3890476190477,772.6,51.43,232.4369633907016,0.8544924398009492,15.270476190476192,12.61,16.94,1.3174864323473243,75.4852380952381,81.6,70.7,3.6079581673087517,-0.32436198234899255,2.11725589883036,3.2427200312770963,5.224999999999998,0.0,145.0,0.6693333333333332,2.8813333333333326,1.3928253968253965,3.2446666666666646,0.0,2.8339999999999983,3.2446666666666646,1.0,304.1037001229438,752.0,1812.0,1675.0,6.0067131828978635,-5.095260002685849,0.911453180212014,287.22379807692306,6.286858841269691,306.33151656569436,276.4058291098778,2.4435765998707173,3.2398979995721016,-3.562004172015463
1,95.0,295.0,200.0,3.418,0.24824923713377722,300.0,429.6819512195122,896.0,78.01,303.1833762446377,0.6000973733501412,19.030975609756098,17.04,22.71,1.7137806231808796,89.64951219512194,94.8,75.8,6.004461237787914,-0.23227785987073968,1.0399867426063207,1.4041127794809865,3.516333333333332,0.0,80.0,0.059333333333333356,3.516333333333332,1.48027753759143,2.6369999999999973,0.05733333333333334,0.9546666666666684,1.7506666666666673,1.0,329.9876235487334,172.0,392.0,796.0,11.121250000000002,-9.33201784797124,1.7892321520287622,289.4,19.158067445328356,314.99036300590797,65.0,0.19311299435028248,,
2,45.0,430.0,385.0,3.137,0.302281349832802,295.0,499.0805128205128,1023.0,39.31,357.11861026070704,0.6143151905160749,17.710128205128203,15.72,20.85,1.5919044329386491,90.58435897435899,95.2,79.05,5.3403559368081,-0.3933488530542141,0.7916624288482552,1.5337901264948035,3.8803333333333354,0.0,15.0,1.761333333333335,1.7000000000000004,1.249430909298802,2.769999999999998,0.0,1.5823333333333327,1.5216666666666665,1.0,153.2863283799297,128.0,312.0,505.0,10.873423913043478,-8.179599069433111,2.6938248436103667,289.229347826087,15.282315916823563,317.09388199482595,123.5,1.542,,
3,125.0,455.0,330.0,3.839,0.19353130384942005,295.0,347.95,1052.0,74.88,276.2688565036714,0.39753612167964236,18.053030303030305,16.47,20.02,0.8677113481354176,73.40348484848484,76.32,69.45,1.8874683837794206,-0.34974476386532183,1.4956694146730487,2.0694503881954067,6.529666666666664,0.0,125.0,0.3173333333333332,5.022333333333333,1.9907456777125823,3.111333333333331,0.0,0.3173333333333332,2.916999999999995,1.0,354.9919015476812,689.0,1162.0,1323.0,8.052074468085108,-5.644769383339344,2.407305084745763,288.1415329768271,6.958915111384613,312.35566522859006,24.837261284668433,1.0524884653961886,0.5497914003657733,-2.3023706515112963
4,60.0,275.0,215.0,3.914,0.4624632156235984,290.0,446.5031818181818,833.0,67.7,271.9181601210079,0.8190554445389364,18.35909090909091,16.47,20.09,0.9309230682420547,72.6725,78.81,68.33,3.1061268224606198,1.926988865149002,1.615999504271902,3.0738267527561005,7.753666666666665,0.0,15.0,2.389666666666666,2.253333333333333,4.63994696969697,7.753666666666665,1.0773333333333328,3.0076666666666667,5.632333333333333,1.0,317.46522208173707,765.0,828.0,267.0,9.147014285714285,-5.091085768316402,4.0559285173978825,289.83500784929356,5.091727678244638,314.1213778617183,152.33657137822266,1.1643673469387754,,
5,25.0,80.0,55.0,3.983,1.000143263796432,285.0,104.73583333333335,178.7,36.78,48.254871343039895,0.9598591057992687,18.98416666666667,18.33,19.59,0.4451446819617055,84.18333333333334,86.7,82.4,1.5781654097736597,-0.7995081153730219,-0.3334157221357675,1.2680488549795617,6.9486666666666626,0.0,15.0,0.0,2.849666666666666,0.042194444444444416,0.3160000000000001,0.0,0.0,0.0,,569.4678666673858,,128.0,416.0,,,2.9904361839278044,,,320.04396664757496,0.0,0.0,,
6,60.0,160.0,100.0,4.596,0.3026705205134766,295.0,186.88952380952384,475.6,42.51,141.20508947896283,0.5389477153183486,19.932380952380946,19.21,20.83,0.508654153250563,81.53428571428573,84.4,78.27,1.9922865542601336,1.136383611977999,2.2607538265673903,2.779060476373163,5.414999999999997,0.30500000000000016,80.0,2.619333333333332,1.5809999999999995,2.4363335456813724,3.8274247491638813,0.30500000000000016,1.5689999999999995,3.8274247491638813,1.0,216.74645815268843,128.0,617.0,728.0,11.680235173824132,-8.434530459183934,3.245704714640198,292.6850715746421,9.24546352345294,323.8433766664955,178.04594216692848,1.7844802259887007,,
7,40.0,210.0,170.0,4.074999999999999,0.39875006216200426,295.0,285.0288571428572,666.7,36.68,227.9584747630641,0.6484869394751995,19.219714285714286,18.08,20.66,0.8840697527520621,84.56457142857143,87.9,79.66,2.8022022252015235,1.3559314806711809,1.8446596089171179,2.6503420710824965,6.622666666666659,0.0,35.0,0.3813333333333342,3.7759999999999994,1.7262857142857144,3.472999999999999,0.295,0.6283333333333336,3.356000000000001,1.0,128.0,128.0,524.0,803.0,11.374431818181817,-8.082027179006559,3.2924046391752575,290.7170454545455,14.244976622465742,320.88731175013004,57.188097851133534,0.5281467889908257,,
8,75.0,360.0,285.0,4.140000000000001,0.7714796540278642,300.0,625.8862068965516,937.0,163.8,230.10739860798017,0.9696438461834526,19.28,17.71,20.45,0.5975505557412415,81.57379310344827,86.1,78.22,1.8421343719072518,1.7915072101710772,1.7445141717892336,3.003658897714604,6.659,0.0,35.0,1.0303333333333335,5.202666666666665,2.1066037558144006,2.936333333333334,1.1399999999999966,1.3976666666666657,2.611666666666668,2.0,128.0,563.0,563.0,914.0,10.80251724137931,-8.560190819007081,2.2423264223722277,290.70758620689656,14.915470008867032,320.3640870577807,59.18597686481513,0.43994915254237293,,
9,55.0,130.0,75.0,4.481999999999999,0.614652688710001,300.0,224.29250000000002,360.3,55.88,95.82818844160626,0.8149088836102697,19.12875,18.46,20.25,0.6149566380377292,93.14999999999999,93.7,92.3,0.33665016461207126,-0.030314351660996244,1.20568521176658,1.4326234076990647,4.037999999999999,0.0,15.0,1.014333333333333,2.474333333333334,1.152395833333333,1.915333333333333,0.4003333333333337,1.5330000000000006,0.6973333333333344,1.0,153.34547871860323,128.0,321.0,969.0,12.888238341968913,-5.822812750086163,7.06542559188275,292.44637305699484,19.486574351210493,317.0482956847926,121.88633364453965,1.081723163841808,,
