,tinicialruptura,tfinalruptura,deltaruptura,turb,kruptura,tinicio,rglbprom,rglbmax,rglbmin,stdrglb,promkrup,tempromrup,tempminrup,tempmaxrup,stdtemp,hrelpromrup,hrelmaxrup,hrelminrup,stdhrel,prespromrup,presmaxrup,presminrup,stdpres,tpotpromrup,tpotmaxrup,tpotminrup,stdtpot,tdewpromrup,tdewminrup,tdewmaxrup,stdtdew,n_clouds,LCL_srf,z_cloudbase,z_inv_base,z_inv_top,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling,promedionb,mediananb,desvnb,maxnb,minnb,promvelv,promvelu,prommag,maxmagnitudviento,minmagnitudviento,inicioviento,maginicioviento,Vamanecer,promagruptura,maxmagruptura,minmagruptura0,maginicioruptura,magfirup
0,100.0,300.0,200.0,3.971,0.9468160270892693,425.0,628.090243902439,958.0,290.7,214.32739069572747,0.8982086916489799,21.492682926829268,19.8,22.95,0.8960999508711178,58.167317073170736,72.67,51.14,6.357409859522289,1000.9217560975608,1001.161,1000.565,0.19142880928530182,294.5648124790845,296.0366348136255,292.88201737792417,0.9052088148081908,12.702674741739912,11.668032292099326,14.586948737313662,0.8362942678844852,,750.7736077475967,,1251.0,1619.0,8.772867256637168,-8.162867256637169,0.61,292.9386725663716,18.641327433625975,294.0900000000086,322.15106291732235,1.663904424778761,,,1267.3799490556457,1267.7777777777778,9.058941469708225,1282.2222222222222,1251.111111111111,3.493764705882353,-0.21596539792387598,3.5747177577289886,7.362952125336684,0.6503975707211705,5.0,1.045276040096586,1.045276040096586,3.160034520260326,5.586488342420487,1.8090024875604787,2.444147499640723,5.3433630795595395
1,50.0,220.0,170.0,4.425,0.6127033332948497,420.0,286.3728571428572,796.1,68.63,210.67483081435108,0.614732403535981,21.413142857142855,19.84,22.56,0.8895992866208371,58.85171428571429,70.97,50.12,7.703618510236635,1002.3292285714284,1002.604,1002.04,0.15069741512172571,294.36651951592415,295.5254144566314,292.8186850523216,0.8867160335908958,12.768733765963386,11.158097566003221,14.274597777685926,1.2023208904013765,1.0,745.1399427018538,1497.0,1644.0,1817.0,8.367789404839765,-7.006776011982622,1.3610133928571428,293.9114189189189,12.255132189525796,312.2015991000097,73.2194690067081,1.5821720078482666,2.836666666666666,-2.0166666666667084,1566.163967611336,1564.0384615384614,9.084498090193499,1588.076923076923,1553.076923076923,3.316076124567474,0.10921107266435937,3.5801023482815237,8.34101312791198,0.22111083193728887,10.0,0.8772878660964141,1.0120711437443515,1.5051679356261518,3.973453158148464,0.5458763596273427,1.1391439768527944,3.2096356491041163
2,50.0,145.0,95.0,4.394,1.1802330394588871,420.0,202.1275,482.5,47.35,141.06508348146107,0.76394149176344,19.350499999999997,18.71,20.22,0.4447409062411624,76.4265,80.0,72.26,2.3430822592653917,1000.9269500000003,1001.102,1000.734,0.08725249204704902,292.4227274676672,293.29073429069376,291.792186649091,0.441882652083477,14.924635248889917,14.178392340990683,15.5150810671351,0.4271946894015014,1.0,506.16854331331075,574.0,,,,,,,,,,,,,599.1666666666667,600.0,9.25235432774062,615.0,585.0,3.321743944636678,-0.4921972318339106,3.6696839348407795,7.760299285465735,0.14822280526288795,40.0,0.36081712819654227,1.2145657660250433,1.6203239347928946,2.6071428806262227,0.3259831283977746,0.7635738340199983,2.57496349488687
3,80.0,380.0,300.0,3.454,0.7003808517147682,425.0,613.1016393442623,1067.0,133.6,342.1816440098267,0.7341371238283806,22.134098360655734,20.38,23.41,1.0086151843810076,62.127704918032784,71.66,54.45,5.411178366259553,999.3289344262296,999.8129,998.7123,0.32777183114948033,295.34102609160266,296.63967946059756,293.59547277880057,1.017201023679526,14.325451251563388,13.286022921882363,14.994305151284948,0.4561379089689065,,631.8936314437703,,1099.0,1262.0,9.58942581300813,-7.400078237950394,2.1893475750577367,293.8111788617886,7.950148260550634,317.20811057729907,2.0823224331448236,2.287665650406504,,,1127.375288865921,1127.1153846153848,4.577710201514447,1139.6153846153848,1118.076923076923,2.9538512110726645,-0.17611072664359914,3.1266858652802925,6.277600258060399,0.238,65.0,0.4063213014352066,1.1427475661754873,2.8388257781737383,5.880150083118628,0.4663153439465616,0.534072092511863,5.608001872324937
4,85.0,335.0,250.0,4.612,0.7665581941104059,430.0,607.3568627450979,1004.0,171.8,302.023289999233,0.8263352389255179,22.968431372549016,20.7,25.99,1.3506004184051175,60.92098039215687,78.45,45.36,9.515723672932493,1000.2262078431373,1000.647,999.7683,0.2925659657876363,296.099224556141,299.1114170157367,293.85324697601834,1.3530485858473291,14.680087520274391,12.499175043741218,16.626434753600677,1.1989935921051464,,631.8936314437703,,1099.0,1262.0,9.58942581300813,-7.400078237950394,2.1893475750577367,293.8111788617886,7.950148260550634,317.20811057729907,2.0823224331448236,2.287665650406504,,,1377.5287056573745,1377.8846153846155,4.901494528386812,1385.3846153846155,1368.076923076923,3.0230000000000006,-0.43868512110726715,3.219165902391336,7.1124056408503575,0.0579827560572969,145.0,1.6378916325569284,1.300459149685218,2.2360777090378208,6.013242469749577,0.1567801007781281,0.9604852940050671,5.545124795710192
5,45.0,405.0,360.0,3.519,0.4433084829873641,420.0,605.1439726027396,1057.0,43.42,367.79800894701447,0.7575500986716592,20.979589041095892,19.0,22.99,1.3077264392365227,75.58630136986302,87.1,62.53,8.091774202314848,999.6174602739725,1000.038,998.8339,0.32650313497717093,294.161850256624,296.20767143448137,292.2478474784997,1.2980143170069267,16.221895888247715,14.833650185178215,16.884236841803556,0.5042401709974977,1.0,368.0227072304882,546.0,873.0,1442.0,10.995085751978891,-7.88997156512768,3.1051141868512113,292.81278538812785,10.484441317732035,313.2483657257392,8.258334381203014,2.7513918205804755,,,471.0431632501485,468.5,40.74538487740799,534.0,415.5,4.367958477508649,-0.3940415224913503,4.422444602831209,7.012102965587427,0.9651450668163829,5.0,1.2320211037153543,1.2320211037153543,5.107289486662015,6.532433007693228,2.9628744489093695,2.9628744489093695,6.177234737323814
6,80.0,165.0,85.0,4.4559999999999995,0.4618236307232945,430.0,336.04999999999995,556.0,90.2,174.77790023845893,0.7710659013463803,20.23166666666667,19.44,21.23,0.5943483826847685,78.64388888888888,85.3,73.62,3.8698489693722706,998.7777833333332,998.828,998.7345,0.023492858739718767,293.48466011980224,294.48395910299564,292.69452970426636,0.5951393596036775,16.197300238715002,15.845427582782008,16.71490289045653,0.2306925202500841,1.0,115.0,115.0,871.0,1117.0,12.131329365079365,-7.6470010068704095,4.4843283582089555,293.16031746031746,8.183092129483441,312.601941317543,15.473888407163269,2.827,,,646.5625,648.125,9.448921585058764,655.0,635.0,4.040916955017301,-0.11327335640138493,4.110763914713656,7.998549931081258,0.19573451407454945,5.0,2.342993384540383,2.342993384540383,2.809472120787845,3.2268314179702666,2.3678044682785777,2.731810571763716,2.915049570762048
7,65.0,330.0,265.0,4.167999999999999,0.7152656572992764,425.0,584.3166666666666,1026.0,115.5,281.60683267198465,0.8790574492213413,21.1287037037037,19.11,22.23,0.8966584640308144,69.98037037037037,80.7,60.56,6.241378041765905,999.4562166666668,1000.068,998.5354,0.5560390975631747,294.3247750168061,295.48938117066405,292.28302874913817,0.9346349013839002,15.206257252468227,13.896960539977897,16.098896735643052,0.6001042875862687,1.0,367.9244268535855,526.0,,,,,,,,,,,,,,,,,,2.5864325259515573,-0.39892387543252644,2.918224768632336,6.754417887575509,0.019646882704388496,85.0,0.9695617566715387,1.780964345516215,3.439289390222657,6.132213711213921,0.6726693095422148,1.268397808260484,5.569711123568258
8,65.0,495.0,430.0,4.086,0.3560657275960719,430.0,598.4432183908045,1146.0,64.59,367.8752563361734,0.6642090433309458,21.62632183908046,20.25,22.92,0.8750084583545048,75.52137931034483,85.2,65.95,5.571199439228503,998.8098344827587,999.2136,997.9644,0.34528973907921784,294.87715462153653,296.2402995384167,293.4816884922394,0.896086661761656,16.874919298109603,15.690517695043525,17.61090896303989,0.4099269345411692,1.0,330.5412308095538,950.0,950.0,1026.0,11.572550898203591,-5.870210861640519,5.702340036563072,294.1940175631174,8.065139939349194,315.45549641240916,3.3132981912287973,4.099380838323353,,,,,,,,4.896771626297578,0.3356297577854665,4.949744119903396,7.962836303729972,1.5927174890733138,5.0,4.458311900260008,4.458311900260008,5.815774628611325,7.575398141352044,4.48458348121651,5.184649361335826,7.018090409790971
9,35.0,585.0,550.0,3.488,0.7102408795349003,430.0,685.5102702702702,1200.0,64.83,332.59134153836584,0.8201260085097035,22.307657657657664,20.37,23.62,0.979690076183609,68.87495495495494,83.2,58.78,7.107818342421364,999.8352675675675,1000.574,998.5966,0.6042861735006219,295.471774282076,296.82683478057606,293.5130926647958,1.0188082558649216,16.054312298358433,14.613979081752518,17.421133794937873,0.7109762821338225,,569.9844688615588,,1136.0,1408.0,10.805107737512243,-8.718654021736494,2.0864537157757495,294.36611165523993,7.609676707468623,316.37492383745257,350.22462970832345,1.105779627815867,,,,,,,,3.817006920415224,-0.14225605536332242,3.8877171509828132,6.735772932633641,1.282632449301046,5.0,1.936194463373966,1.936194463373966,4.7320152737390755,6.735772932633641,1.6046385885924592,2.230885922677356,6.066490665945182
